News Agency,relevance,hours since published,publish date,title,url
abc.net.au,0,27,"Thu, 18 Feb 2021 05:34:31 +1100","Indian netizens are flocking to Koo, but what does it mean for censorship in the world's largest democracy?",https://www.abc.net.au/news/2021-02-18/india-koo-takes-on-twitter-new-social-media/13160474
abc.net.au,0,27,"Thu, 18 Feb 2021 05:31:58 +1100",Will all aged care workers get the Pfizer jab? How will you know when you can get the vaccine?,https://www.abc.net.au/news/2021-02-18/aged-care-workers-residents-coronavirus-vaccine-rollout/13164168
abc.net.au,0,27,"Thu, 18 Feb 2021 04:59:16 +1100",Why there are unlikely to be any travel bubbles any time soon,https://www.abc.net.au/news/2021-02-18/why-there-are-unlikely-to-be-any-covid-19-travel-bubbles-soon/13163896
abc.net.au,0,28,"Thu, 18 Feb 2021 04:41:36 +1100",Europe's top human rights court orders Russia to release Alexei Navalny,https://www.abc.net.au/news/2021-02-18/top-eu-human-rights-court-orders-russia-release-navalny/13166154
abc.net.au,0,29,"Thu, 18 Feb 2021 03:00:00 +1100",Record for oldest DNA sequencing smashed with woolly mammoth teeth breakthrough,https://www.abc.net.au/news/science/2021-02-18/mammoth-woolly-dna-siberia-russia-palaeogenetics-permafrost/13160930
abc.net.au,0,32,"Thu, 18 Feb 2021 00:25:07 +1100",Dylan Alcott wins seventh straight Australian Open title,https://www.abc.net.au/news/2021-02-18/dylan-alcott-wins-seventh-straight-australian-open-title/13165602
abc.net.au,0,33,"Wed, 17 Feb 2021 23:34:10 +1100",No consensus on effectiveness of controversial Cashless Debit Card program,https://www.abc.net.au/news/2021-02-17/cashless-debit-card-program-review-delivers-mixed-results/13165550
abc.net.au,0,35,"Wed, 17 Feb 2021 21:30:11 +1100",Satellite images show China emptying military camps at border flashpoint with India,https://www.abc.net.au/news/2021-02-17/satellite-images-show-china-emptying-military-camps-at-border/13165364
abc.net.au,0,36,"Wed, 17 Feb 2021 20:42:48 +1100",Coronial investigation into baby boy's death finds Child Safety Department ignored warnings,https://www.abc.net.au/news/2021-02-17/coronial-investigation-baby-boy-t-death-child-safety-department/13164926
abc.net.au,0,37,"Wed, 17 Feb 2021 19:21:19 +1100",Stefanos Tsitsipas left 'speechless' by stunning comeback upset of Rafael Nadal at Australian Open,https://www.abc.net.au/news/2021-02-17/australian-open-rafael-nadal-stefanos-tsitsipas-quarter-final/13164640
abc.net.au,0,37,"Wed, 17 Feb 2021 18:59:40 +1100",'The door's open': Netball Tasmania confirms bid to enter Super Netball league,https://www.abc.net.au/news/2021-02-17/tas-netball-tasmania-push-for-super-netball-licence/13164342
abc.net.au,0,38,"Wed, 17 Feb 2021 18:52:45 +1100","Rape accused offered to improve alleged victims' fertility, ease child abuse trauma, trial hears",https://www.abc.net.au/news/2021-02-17/indigenous-tour-guide-faces-trial-over-multiple-rape-charges/13164278
abc.net.au,0,38,"Wed, 17 Feb 2021 18:47:13 +1100",Facebook deletes Pete Evans's Instagram account,https://www.abc.net.au/news/2021-02-17/pete-evans-facebook-deletes-chefs-instagram-account-coronavirus/13164812
abc.net.au,0,38,"Wed, 17 Feb 2021 18:43:10 +1100","Neighbour 'heard shriek' before 'Jane' Birch found dead in wheelie bin, jury hears",https://www.abc.net.au/news/2021-02-17/jury-trial-woonona-jane-birch-body-in-wheelie-bin/13164814
abc.net.au,0,38,"Wed, 17 Feb 2021 18:08:08 +1100",Alleged bikie charged with murders of Shane Ross and Cameron Martin at Tallebudgera,https://www.abc.net.au/news/2021-02-17/tallebudgera-double-murder-charge-alleged-bikie/13164542
abc.net.au,0,38,"Wed, 17 Feb 2021 18:01:36 +1100",Brittany Higgins says she only found out details of her alleged rape in Parliament House after going public,https://www.abc.net.au/news/2021-02-17/brittany-higgins-statement-rape-allegation-parliament-house/13164506
abc.net.au,0,39,"Wed, 17 Feb 2021 17:52:58 +1100","Truth telling the key to Collingwood's future, says racism report lead author Behrendt",https://www.abc.net.au/news/2021-02-17/real-work-starts-collingwood-truth-telling-agenda-report-author/13164406
abc.net.au,0,39,"Wed, 17 Feb 2021 17:03:13 +1100",Mother of teenager missing for more than 20 years tells murder trial of final phone call from daughter,https://www.abc.net.au/news/2021-02-17/hayley-dodd-mother-margaret-testifies-frances-wark-murder-trial/13163692
abc.net.au,0,40,"Wed, 17 Feb 2021 16:39:06 +1100",'Contrary to basic human rights': Biden says China to face repercussions over abuse of Muslim minorities,https://www.abc.net.au/news/2021-02-17/biden-says-china-to-face-repercussions-on-human-rights/13164206
abc.net.au,0,40,"Wed, 17 Feb 2021 16:34:35 +1100",'One of the biggest blunders in banking history': Citigroup loses bid to recover $644m paid out by mistake,https://www.abc.net.au/news/2021-02-17/citigroup-judge-rules-bank-cannot-recover-millions-paid-revlon/13164088
abc.net.au,0,40,"Wed, 17 Feb 2021 16:07:47 +1100",'Grossly intoxicated' driver's car goes airborne and slams through takeaway shop fence,https://www.abc.net.au/news/2021-02-17/woman-taken-to-hospital-following-crash-into-plympton-shopfront/13163160
abc.net.au,0,41,"Wed, 17 Feb 2021 15:45:59 +1100",'It's within the rules': Barty defends Muchová's use of medical timeout after Australian Open exit,https://www.abc.net.au/news/2021-02-17/australian-open-ash-barty-loses-to-karolina-muchova/13163910
abc.net.au,0,41,"Wed, 17 Feb 2021 15:03:13 +1100",Indigenous man 'in disbelief' after NSW cop acquitted of assaulting him in custody,https://www.abc.net.au/news/2021-02-17/nsw-police-officer-acquitted-assault-indigenous-man-in-custody/13162640
abc.net.au,0,42,"Wed, 17 Feb 2021 14:52:39 +1100",Homeless people evicted from Perth hotel to be given new government accommodation,https://www.abc.net.au/news/2021-02-17/homeless-people-evicted-from-perth-hotel-given-new-accommodation/13163850
abc.net.au,0,42,"Wed, 17 Feb 2021 14:40:52 +1100",Here's your pocket guide to the changes to restrictions in Victoria,https://www.abc.net.au/news/2021-02-17/victorias-coronavirus-restrictions-update-explained/13163304
abc.net.au,1,42,"Wed, 17 Feb 2021 14:36:14 +1100",'A shocking state of affairs' as patients forced to catch taxis to hospital,https://www.abc.net.au/news/2021-02-17/delays-for-patients-waiting-for-ambulances/13162606
abc.net.au,0,42,"Wed, 17 Feb 2021 14:23:05 +1100",'These are good deals': Treasurer praises Google news deals amid pressure from Government legislation,https://www.abc.net.au/news/2021-02-17/treasurer-praises-good-deals-between-google-news-seven/13163676
abc.net.au,0,42,"Wed, 17 Feb 2021 14:23:05 +1100",'Absurd and unprecedented': Tech giants push back on news code as critics warn it could endanger a free and open internet,https://www.abc.net.au/news/2021-02-17/accc-pursues-google-ad-dominance-facebook-tech-giants-news-code/13147644
abc.net.au,0,43,"Wed, 17 Feb 2021 13:50:00 +1100",Diamonds to trial their captaincy options during New Zealand tour,https://www.abc.net.au/news/2021-02-17/australia-diamonds-rotate-captains-in-nz-constellation-cup-tour/13162706
abc.net.au,0,43,"Wed, 17 Feb 2021 13:26:46 +1100","'No history of family violence' before Melbourne mother's murder-suicide, coronial inquest hears",https://www.abc.net.au/news/2021-02-17/tullamarine-murder-suicide-coronial-inquest-begins/13163650
